630 S Peck Dr;;1225 Ken Pratt Blvd;;8;;2.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-105.1110732;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.1523306
630 S Peck Dr;;444 Sherman St;;9;;3.7;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1544874,-105.1306322,-105.130811,-105.115377,-105.1153319;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.15801520000001,40.1596625,40.166596,40.1667429,40.1690487
630 S Peck Dr;;3699 Scheuvront Dr;;12;;5.4;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.1011966,-105.1018628,-105.1018625;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1673806,40.1673955,40.1672069
630 S Peck Dr;;422 Overbrook Ln;;15;;6.6;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-105.0552778,-105.0553161,-105.0595366,-105.0595265;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.16018589999999,40.1654585,40.16544510000001,40.1661177
630 S Peck Dr;;2010 W 9th Ave W;;12;;5.4;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.1011966,-105.1018628,-105.1018625;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1673806,40.1673955,40.1672069
630 S Peck Dr;;11257 Canyon Crt;;17;;7.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-105.0272522,-105.0270977,-105.0278441,-105.0280758,-105.0277454;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.1607966,40.16520269999999,40.16520149999999,40.1646729,40.1640349
630 S Peck Dr;;1419 Red Mountain Dr;;14;;6.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.0648351,-105.064823,-105.0652851;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1743186,40.1752989,40.1752986
630 S Peck Dr;;2227 Sherman St;;12;;5.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1167759,-105.1167429,-105.1161061,-105.116078;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1885413,40.1995481,40.199537,40.1985463
630 S Peck Dr;;1200 Autumn Ct;;14;;6.3;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.0830946,-105.0830927,-105.0819254,-105.0819104;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1739798,40.18000130000001,40.1800107,40.1802742
630 S Peck Dr;;2631 Denver Ave;;8;;4.1;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1407466,-105.1405925,-105.1361708;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1886031,40.1877885,40.18803399999999
630 S Peck Dr;;15 E 4th Avenue;;12;;5.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.0931708,-105.093132,-105.0922581;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1739404,40.1660169,40.1660158
630 S Peck Dr;;1819 Sunlight Dr;;14;;7.1;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1004864,-105.0883036,-105.0890299,-105.086796;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1885583,40.1886003,40.1933694,40.1923319
630 S Peck Dr;;521 Gay St;;9;;4.1;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1544874,-105.1306322,-105.130811,-105.110231,-105.1102155;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.15801520000001,40.1596625,40.166596,40.1647647,40.1680848
630 S Peck Dr;;1320 Monarch Ct;;15;;6.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.0741638,-105.0741679,-105.0733213,-105.0697774,-105.069785;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1740913,40.1787067,40.1781577,40.1783162,40.178641
630 S Peck Dr;;807 Sumner St;;8;;4.0;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1201181,-105.1201292;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.17400749999999,40.1725686
630 S Peck Dr;;735 Elliott St;;13;;6.1;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.0830946,-105.0830835,-105.080068;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1739798,40.173474,40.17183560000001
630 S Peck Dr;;2114 Lincoln St;;13;;6.1;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1102198,-105.1103258,-105.1133379,-105.1133312;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.188562,40.195675,40.1959895,40.1965861
630 S Peck Dr;;10684 Forester Place;;19;;9.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-104.9890146,-104.9890285,-104.9867537,-104.9869142,-104.9858643;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.1606519,40.1580172,40.15801560000001,40.1565377,40.1565181
630 S Peck Dr;;2016 Mount Sneffels St;;14;;6.8;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1004864,-105.0915377,-105.0913199,-105.09245;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1885583,40.1885776,40.1910605,40.19484300000001
630 S Peck Dr;;10589 Durango Pl;;19;;9.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-104.9890146,-104.9896614,-104.9884634,-104.98856;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.1606519,40.15584,40.1557687,40.1550538
630 S Peck Dr;;726 Coffman St;;10;;4.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1037908,-105.1038325;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.17393690000001,40.1716925
